Omavalitsus,Vaatlusperiood,"Asustustihedus, elanikku km2 kohta"
..Rae vald,2015,81.53504
..Rae vald,2016,76.38439
..Saku vald,2013,57.21
..Saku vald,2014,57.16707
..Saku vald,2015,57.75053
..Saku vald,2016,54.42384
..Saue vald,2013,55.50661
..Saue vald,2014,55.04047
..Saue vald,2015,55.8274
..Saue vald,2016,52.7256
..Vasalemma vald,2013,70.33
..Vasalemma vald,2014,68.67563
..Vasalemma vald,2015,67.55429
..Vasalemma vald,2016,63.75388
..Viimsi vald,2013,258.26
..Viimsi vald,2014,260.99671
..Viimsi vald,2015,262.06661
..Viimsi vald,2016,246.2599
..Kärdla linn,2013,687.33
..Emmaste vald,2013,5.7
..Emmaste vald,2014,5.65092
..Emmaste vald,2015,5.56448
..Emmaste vald,2016,6.02652
..Hiiu vald,2014,10.875
..Hiiu vald,2015,10.73928
..Hiiu vald,2016,11.73342
..Kõrgessaare vald,2013,2.91
..Käina vald,2013,10.02
..Käina vald,2014,9.94526
..Käina vald,2015,9.95336
..Käina vald,2016,10.99216
..Pühalepa vald,2013,5.68
..Pühalepa vald,2014,5.65277
..Pühalepa vald,2015,5.58384
..Pühalepa vald,2016,5.94521
..Kiviõli linn,2013,490.89
..Kiviõli linn,2014,479.57447
..Kiviõli linn,2015,466.04572
..Kiviõli linn,2016,459.69517
..Kohtla-Järve linn,2013,908.81
..Kohtla-Järve linn,2014,890.54345
..Kohtla-Järve linn,2015,876.75365
..Kohtla-Järve linn,2016,860.13886
..Narva linn,2013,708.4
..Narva linn,2014,698.4741
..Narva linn,2015,846.62799
..Narva linn,2016,844.14793
..Narva-Jõesuu linn,2013,245.06
..Narva-Jõesuu linn,2014,240.70716
..Narva-Jõesuu linn,2015,257.5906
..Narva-Jõesuu linn,2016,256.51322
..Püssi linn,2013,518.57
..Sillamäe linn,2013,1363.95
..Sillamäe linn,2014,1339.8482
..Sillamäe linn,2015,1193.50427
..Sillamäe linn,2016,1169.74359
..Alajõe vald,2013,3.3
..Alajõe vald,2014,3.55807
..Alajõe vald,2015,3.81756
..Alajõe vald,2016,5.33174
..Aseri vald,2013,26.63
..Aseri vald,2014,25.42449
..Aseri vald,2015,24.4749
..Aseri vald,2016,23.80456
..Avinurme vald,2013,6.78
..Avinurme vald,2014,6.5644
..Avinurme vald,2015,6.44078
..Avinurme vald,2016,6.54408
..Iisaku vald,2013,4.63
..Iisaku vald,2014,4.58815
..Iisaku vald,2015,4.55816
..Iisaku vald,2016,4.70958
..Illuka vald,2013,1.67
..Illuka vald,2014,1.67886
..Illuka vald,2015,1.70975
..Illuka vald,2016,1.85843
..Jõhvi vald,2013,103.63
..Jõhvi vald,2014,102.33758
..Jõhvi vald,2015,101.40402
..Jõhvi vald,2016,95.10207
..Kohtla vald,2013,14.28
..Kohtla vald,2014,14.12958
..Kohtla vald,2015,14.27446
..Kohtla vald,2016,15.29829
..Kohtla-Nõmme vald,2013,222.41
..Kohtla-Nõmme vald,2014,219.82759
..Kohtla-Nõmme vald,2015,215.55076
..Kohtla-Nõmme vald,2016,215.55076
..Lohusuu vald,2013,6.68
..Lohusuu vald,2014,6.76801
..Lohusuu vald,2015,6.57353
..Lohusuu vald,2016,6.7649
..Lüganuse vald,2013,13.02
..Lüganuse vald,2014,6.89797
..Lüganuse vald,2015,6.70558
..Lüganuse vald,2016,6.7147
..Maidla vald,2013,2.13
..Mäetaguse vald,2013,5.33
..Mäetaguse vald,2014,5.25189
..Mäetaguse vald,2015,5.34161
..Mäetaguse vald,2016,6.13075
..Sonda vald,2013,5.43
..Sonda vald,2014,5.47677
..Sonda vald,2015,5.32461
..Sonda vald,2016,5.69578
..Toila vald,2013,13.79
..Toila vald,2014,13.67907
..Toila vald,2015,13.52823
..Toila vald,2016,14.19181
..Tudulinna vald,2013,1.74
..Tudulinna vald,2014,1.71876
..Tudulinna vald,2015,1.70537
..Tudulinna vald,2016,1.60505
..Vaivara vald,2013,3.7
..Vaivara vald,2014,3.83949
..Vaivara vald,2015,3.89342
..Vaivara vald,2016,4.33452
..Jõgeva linn,2013,1433.42
..Jõgeva linn,2014,1413.73057
..Jõgeva linn,2015,1390.10152
..Jõgeva linn,2016,1355.32995
..Mustvee linn,2013,251.93
..Mustvee linn,2014,247.33945
..Mustvee linn,2015,226.80412
..Mustvee linn,2016,225.94502
..Põltsamaa linn,2013,703.84
..Põltsamaa linn,2014,692.48748
..Põltsamaa linn,2015,686.31052
..Põltsamaa linn,2016,696.82805
..Jõgeva vald,2013,9.4
..Jõgeva vald,2014,9.14342
..Jõgeva vald,2015,9.02018
..Jõgeva vald,2016,9.46694
..Kasepää vald,2013,28.99
..Kasepää vald,2014,28.60289
..Kasepää vald,2015,27.98651
..Kasepää vald,2016,28.58863
..Pajusi vald,2013,5.14
..Pajusi vald,2014,5.08453
..Pajusi vald,2015,4.95935
..Pajusi vald,2016,5.52712
..Pala vald,2013,6.87
..Pala vald,2014,6.75771
..Pala vald,2015,6.63943
..Pala vald,2016,6.99694
..Palamuse vald,2013,9.76
..Palamuse vald,2014,9.69057
..Palamuse vald,2015,9.5344
..Palamuse vald,2016,9.86796
..Puurmani vald,2013,4.93
..Puurmani vald,2014,4.88105
..Puurmani vald,2015,4.75426
..Puurmani vald,2016,5.15756
..Põltsamaa vald,2013,9.28
..Põltsamaa vald,2014,9.07717
..Põltsamaa vald,2015,8.97507
..Põltsamaa vald,2016,8.75909
..Saare vald,2013,5.25
..Saare vald,2014,5.17556
..Saare vald,2015,5.11553
..Saare vald,2016,4.96861
..Tabivere vald,2013,11.05
..Tabivere vald,2014,11.08782
..Tabivere vald,2015,11.0186
..Tabivere vald,2016,10.95877
..Torma vald,2013,5.4
..Torma vald,2014,5.43435
..Torma vald,2015,5.41865
..Torma vald,2016,5.59917
